"age.min";"age.max";"code_reg";"year";"all";"male";"female"
0;4;1;2012;26805;13809;12996
0;4;3;2012;28440;14591;13849
0;4;11;2012;827646;420510;407136
0;4;94;2012;15010;7749;7261
0;4;73;2012;159226;81725;77501
0;4;42;2012;109215;56064;53151
0;4;23;2012;116804;59835;56969
0;4;2;2012;23686;12113;11573
0;4;4;2012;68137;35044;33093
0;4;21;2012;80557;41678;38879
0;4;26;2012;89636;45599;44037
0;4;74;2012;36803;18625;18178
0;4;43;2012;73272;37812;35460
0;4;24;2012;151782;77799;73983
0;4;82;2012;399933;204634;195299
0;4;41;2012;134729;68769;65960
0;4;22;2012;124358;63751;60607
0;4;31;2012;273404;140409;132995
0;4;53;2012;191367;97843;93524
0;4;52;2012;230164;117531;112633
0;4;25;2012;84692;43265;41427
0;4;83;2012;70205;35397;34808
0;4;72;2012;173502;88784;84718
0;4;91;2012;147979;75742;72237
0;4;54;2012;96348;49673;46675
0;4;93;2012;275748;140672;135076
5;9;21;2012;81507;41597;39910
5;9;4;2012;71223;36404;34819
5;9;23;2012;119374;60813;58561
5;9;22;2012;127811;64812;62999
5;9;43;2012;72980;37750;35230
5;9;42;2012;111349;56776;54573
5;9;3;2012;27708;14090;13618
5;9;11;2012;769038;393343;375695
5;9;2;2012;26410;13174;13236
5;9;24;2012;156248;79886;76362
5;9;82;2012;397220;203253;193967
5;9;52;2012;234912;120619;114293
5;9;25;2012;90109;46293;43816
5;9;73;2012;163460;83983;79477
5;9;1;2012;29284;15175;14109
5;9;26;2012;94565;48297;46268
5;9;74;2012;38159;19534;18625
5;9;83;2012;74088;37711;36377
5;9;53;2012;199774;102693;97081
5;9;93;2012;278849;142170;136679
5;9;41;2012;138483;70649;67834
5;9;94;2012;15550;7952;7598
5;9;31;2012;273554;140583;132971
5;9;91;2012;153409;78358;75051
5;9;54;2012;100873;51618;49255
5;9;72;2012;182163;93791;88372
10;14;1;2012;31683;16306;15377
10;14;2;2012;27636;14074;13562
10;14;4;2012;70827;36292;34535
10;14;3;2012;24867;12843;12024
10;14;11;2012;719833;367834;351999
10;14;31;2012;265809;136319;129490
10;14;42;2012;111941;57071;54870
10;14;26;2012;94897;49308;45589
10;14;41;2012;137844;71055;66789
10;14;43;2012;71593;36985;34608
10;14;53;2012;195326;100480;94846
10;14;21;2012;81418;41544;39874
10;14;23;2012;117416;59780;57636
10;14;25;2012;90628;46218;44410
10;14;73;2012;164594;84870;79724
10;14;82;2012;389512;199957;189555
10;14;52;2012;223352;114052;109300
10;14;54;2012;100299;51128;49171
10;14;22;2012;123984;63768;60216
10;14;24;2012;151749;77800;73949
10;14;72;2012;185133;94571;90562
10;14;74;2012;37783;19309;18474
10;14;83;2012;73169;37578;35591
10;14;93;2012;289289;148951;140338
10;14;91;2012;155993;79818;76175
10;14;94;2012;16223;8551;7672
15;19;24;2012;149224;76452;72772
15;19;25;2012;90985;46545;44440
15;19;31;2012;270873;138370;132503
15;19;21;2012;83167;43461;39706
15;19;3;2012;21401;10729;10672
15;19;11;2012;734198;369688;364510
15;19;22;2012;123317;63504;59813
15;19;82;2012;395018;201253;193765
15;19;26;2012;95980;49409;46571
15;19;41;2012;146071;75214;70857
15;19;2;2012;29421;14763;14658
15;19;4;2012;71254;35775;35479
15;19;72;2012;187369;96055;91314
15;19;23;2012;118187;59855;58332
15;19;83;2012;76669;39117;37552
15;19;93;2012;295330;152060;143270
15;19;1;2012;30792;15755;15037
15;19;52;2012;218687;112242;106445
15;19;54;2012;99999;51565;48434
15;19;73;2012;170825;87986;82839
15;19;53;2012;190832;98078;92754
15;19;91;2012;155823;79728;76095
15;19;74;2012;40109;20828;19281
15;19;43;2012;71046;36801;34245
15;19;42;2012;115362;58764;56598
15;19;94;2012;15824;8320;7504
20;24;22;2012;119938;61414;58524
20;24;26;2012;91234;46600;44634
20;24;25;2012;84651;43352;41299
20;24;4;2012;56332;28067;28265
20;24;1;2012;21089;10649;10440
20;24;23;2012;117237;59013;58224
20;24;11;2012;836872;406554;430318
20;24;73;2012;175664;89652;86012
20;24;24;2012;144993;73523;71470
20;24;91;2012;155204;77923;77281
20;24;41;2012;156526;80801;75725
20;24;2;2012;22587;11099;11488
20;24;53;2012;184403;94972;89431
20;24;21;2012;85345;44296;41049
20;24;74;2012;39942;20424;19518
20;24;83;2012;74024;38082;35942
20;24;31;2012;287623;144753;142870
20;24;42;2012;121436;60153;61283
20;24;3;2012;16206;7728;8478
20;24;54;2012;97822;49924;47898
20;24;43;2012;71620;37593;34027
20;24;82;2012;400374;203299;197075
20;24;72;2012;185973;93640;92333
20;24;94;2012;18173;9377;8796
20;24;93;2012;288476;145959;142517
20;24;52;2012;213994;109687;104307
25;29;11;2012;899280;434220;465060
25;29;24;2012;143064;71383;71681
25;29;23;2012;114428;56302;58126
25;29;2;2012;18188;7989;10199
25;29;31;2012;268936;133918;135018
25;29;21;2012;81092;40777;40315
25;29;3;2012;16390;7281;9109
25;29;54;2012;93974;46617;47357
25;29;22;2012;118092;58959;59133
25;29;82;2012;392304;195040;197264
25;29;26;2012;89347;44951;44396
25;29;41;2012;150338;76220;74118
25;29;43;2012;71371;36102;35269
25;29;4;2012;50540;22922;27618
25;29;72;2012;180804;89925;90879
25;29;74;2012;37916;19213;18703
25;29;25;2012;81693;41011;40682
25;29;93;2012;277612;137244;140368
25;29;1;2012;18090;7826;10264
25;29;52;2012;212147;106395;105752
25;29;94;2012;18449;9343;9106
25;29;73;2012;169972;86123;83849
25;29;53;2012;179647;91093;88554
25;29;91;2012;145794;71141;74653
25;29;83;2012;72403;36492;35911
25;29;42;2012;119185;58530;60655
30;34;3;2012;16368;7692;8676
30;34;22;2012;114726;57049;57677
30;34;21;2012;76134;38020;38114
30;34;41;2012;138314;70050;68264
30;34;25;2012;79316;39444;39872
30;34;4;2012;55239;24936;30303
30;34;1;2012;21380;8654;12726
30;34;52;2012;213046;107148;105898
30;34;11;2012;872496;429675;442821
30;34;73;2012;167135;84344;82791
30;34;24;2012;141757;70558;71199
30;34;26;2012;86965;43519;43446
30;34;94;2012;17370;8654;8716
30;34;2;2012;19910;8326;11584
30;34;53;2012;181908;92228;89680
30;34;72;2012;181022;89610;91412
30;34;23;2012;107190;53077;54113
30;34;83;2012;72579;36541;36038
30;34;31;2012;250003;123790;126213
30;34;42;2012;113004;56247;56757
30;34;91;2012;145473;71146;74327
30;34;54;2012;93611;46284;47327
30;34;43;2012;68728;34663;34065
30;34;82;2012;385163;192016;193147
30;34;74;2012;38393;19279;19114
30;34;93;2012;273326;132675;140651
35;39;1;2012;29401;12372;17029
35;39;11;2012;901268;448074;453194
35;39;4;2012;60586;28029;32557
35;39;26;2012;105579;52389;53190
35;39;23;2012;125585;62157;63428
35;39;2;2012;27580;11585;15995
35;39;31;2012;279380;139462;139918
35;39;42;2012;132537;66127;66410
35;39;3;2012;16742;7877;8865
35;39;54;2012;114682;56913;57769
35;39;22;2012;135065;67231;67834
35;39;24;2012;172019;85967;86052
35;39;91;2012;173602;84657;88945
35;39;41;2012;158136;79610;78526
35;39;43;2012;80192;40445;39747
35;39;53;2012;218237;110309;107928
35;39;21;2012;89326;44562;44764
35;39;74;2012;47278;23506;23772
35;39;25;2012;95013;47516;47497
35;39;93;2012;325640;158740;166900
35;39;82;2012;440069;219615;220454
35;39;52;2012;246242;123621;122621
35;39;94;2012;21430;10438;10992
35;39;73;2012;195725;97599;98126
35;39;72;2012;220295;109013;111282
35;39;83;2012;88796;44598;44198
40;44;31;2012;268283;133342;134941
40;44;3;2012;15065;7415;7650
40;44;2;2012;32091;14036;18055
40;44;24;2012;174048;86719;87329
40;44;21;2012;91196;45445;45751
40;44;41;2012;161955;80638;81317
40;44;25;2012;97886;49089;48797
40;44;93;2012;341517;164907;176610
40;44;1;2012;32077;13848;18229
40;44;52;2012;242001;121210;120791
40;44;11;2012;847566;416230;431336
40;44;22;2012;134610;67341;67269
40;44;82;2012;442756;220820;221936
40;44;26;2012;109695;54392;55303
40;44;94;2012;22789;11180;11609
40;44;43;2012;81294;41156;40138
40;44;4;2012;67780;32311;35469
40;44;72;2012;225060;110780;114280
40;44;23;2012;125618;62071;63547
40;44;83;2012;91729;46316;45413
40;44;73;2012;200206;99686;100520
40;44;42;2012;136971;68837;68134
40;44;91;2012;180636;87802;92834
40;44;54;2012;117707;58051;59656
40;44;53;2012;217437;109466;107971
40;44;74;2012;48582;24377;24205
45;49;25;2012;100963;50269;50694
45;49;1;2012;32798;15179;17619
45;49;41;2012;170329;84140;86189
45;49;22;2012;134142;67080;67062
45;49;4;2012;62291;30352;31939
45;49;26;2012;113137;56201;56936
45;49;23;2012;126459;62323;64136
45;49;83;2012;93487;46647;46840
45;49;31;2012;270669;133442;137227
45;49;42;2012;137412;68467;68945
45;49;3;2012;13280;6698;6582
45;49;11;2012;822278;399346;422932
45;49;73;2012;205100;101572;103528
45;49;24;2012;174134;86070;88064
45;49;91;2012;180702;87211;93491
45;49;94;2012;23251;11333;11918
45;49;2;2012;33120;15044;18076
45;49;53;2012;219358;109849;109509
45;49;21;2012;93408;46432;46976
45;49;74;2012;51222;25426;25796
45;49;54;2012;120762;59442;61320
45;49;93;2012;344216;165156;179060
45;49;82;2012;431925;213394;218531
45;49;52;2012;242580;120531;122049
45;49;43;2012;80292;39994;40298
45;49;72;2012;226078;110313;115765
50;54;23;2012;126034;61475;64559
50;54;31;2012;267918;130722;137196
50;54;26;2012;114369;56158;58211
50;54;11;2012;750363;360611;389752
50;54;2;2012;28690;13186;15504
50;54;24;2012;173005;84771;88234
50;54;21;2012;91367;44605;46762
50;54;74;2012;51748;25516;26232
50;54;25;2012;101772;50466;51306
50;54;93;2012;324190;155310;168880
50;54;1;2012;27579;13007;14572
50;54;3;2012;10545;5397;5148
50;54;54;2012;123094;60255;62839
50;54;22;2012;129428;63209;66219
50;54;82;2012;398758;194896;203862
50;54;91;2012;173528;82734;90794
50;54;41;2012;167338;81931;85407
50;54;43;2012;78274;38491;39783
50;54;4;2012;49960;24261;25699
50;54;72;2012;220542;107081;113461
50;54;52;2012;233029;115302;117727
50;54;83;2012;94931;46768;48163
50;54;73;2012;193850;95059;98791
50;54;42;2012;130336;64354;65982
50;54;94;2012;21358;10773;10585
50;54;53;2012;215426;107029;108397
55;59;21;2012;92323;45029;47294
55;59;25;2012;102712;50918;51794
55;59;24;2012;174234;85512;88722
55;59;3;2012;8314;4207;4107
55;59;41;2012;161845;80045;81800
55;59;22;2012;129639;64054;65585
55;59;4;2012;42397;20577;21820
55;59;72;2012;222718;107160;115558
55;59;23;2012;122398;59736;62662
55;59;83;2012;98006;48472;49534
55;59;31;2012;258284;124525;133759
55;59;1;2012;24015;10979;13036
55;59;52;2012;231644;113569;118075
55;59;11;2012;706698;338445;368253
55;59;73;2012;192392;94442;97950
55;59;82;2012;387063;188075;198988
55;59;26;2012;118152;58074;60078
55;59;94;2012;21162;10660;10502
55;59;2;2012;24930;11376;13554
55;59;53;2012;211198;103543;107655
55;59;42;2012;124284;62238;62046
55;59;74;2012;54192;26661;27531
55;59;54;2012;125514;61150;64364
55;59;93;2012;319527;152058;167469
55;59;91;2012;175206;84781;90425
55;59;43;2012;77137;37957;39180
60;64;4;2012;31315;15588;15727
60;64;23;2012;110298;53487;56811
60;64;22;2012;114579;57005;57574
60;64;1;2012;21626;9991;11635
60;64;26;2012;112212;55128;57084
60;64;11;2012;613678;298053;315625
60;64;2;2012;21653;10057;11596
60;64;53;2012;205150;98626;106524
60;64;21;2012;84419;41849;42570
60;64;74;2012;53479;26252;27227
60;64;25;2012;96239;46692;49547
60;64;31;2012;229014;109430;119584
60;64;42;2012;100731;50658;50073
60;64;3;2012;5615;2931;2684
60;64;54;2012;120953;58970;61983
60;64;73;2012;181431;88128;93303
60;64;24;2012;164133;80297;83836
60;64;91;2012;177951;84806;93145
60;64;41;2012;140201;69231;70970
60;64;43;2012;73763;36702;37061
60;64;93;2012;316795;149941;166854
60;64;72;2012;213609;102603;111006
60;64;52;2012;215264;104181;111083
60;64;83;2012;92996;45751;47245
60;64;82;2012;362880;177004;185876
60;64;94;2012;20123;9828;10295
65;69;2;2012;16961;7816;9145
65;69;21;2012;52387;25038;27349
65;69;11;2012;394746;187191;207555
65;69;31;2012;129124;58885;70239
65;69;24;2012;109159;52542;56617
65;69;3;2012;3433;1740;1693
65;69;41;2012;91228;43232;47996
65;69;43;2012;48978;23846;25132
65;69;4;2012;24247;11380;12867
65;69;72;2012;147661;69921;77740
65;69;23;2012;70248;32942;37306
65;69;25;2012;60871;28614;32257
65;69;93;2012;247704;117082;130622
65;69;1;2012;16370;7342;9028
65;69;52;2012;139849;65832;74017
65;69;54;2012;83079;39940;43139
65;69;22;2012;69154;33391;35763
65;69;82;2012;256289;123024;133265
65;69;26;2012;75086;36031;39055
65;69;94;2012;16947;8307;8640
65;69;83;2012;62093;29645;32448
65;69;53;2012;132908;62281;70627
65;69;42;2012;74261;36326;37935
65;69;74;2012;35814;17253;18561
65;69;73;2012;127320;60830;66490
65;69;91;2012;129075;61806;67269
70;74;41;2012;95500;42601;52899
70;74;4;2012;18441;7912;10529
70;74;3;2012;2343;1083;1260
70;74;25;2012;64801;28928;35873
70;74;22;2012;67418;29876;37542
70;74;1;2012;13298;5914;7384
70;74;26;2012;74112;33721;40391
70;74;94;2012;14601;6966;7635
70;74;2;2012;15415;7038;8377
70;74;53;2012;140590;61978;78612
70;74;21;2012;53041;23530;29511
70;74;23;2012;67461;29204;38257
70;74;83;2012;62045;28036;34009
70;74;31;2012;138838;58119;80719
70;74;42;2012;68605;31286;37319
70;74;52;2012;142117;63887;78230
70;74;11;2012;337793;151029;186764
70;74;73;2012;121050;55656;65394
70;74;24;2012;107731;49213;58518
70;74;91;2012;113955;52320;61635
70;74;74;2012;36708;16599;20109
70;74;43;2012;46882;21450;25432
70;74;93;2012;213213;96859;116354
70;74;72;2012;139809;64171;75638
70;74;54;2012;81973;37875;44098
70;74;82;2012;225267;103046;122221
75;79;26;2012;69974;29175;40799
75;79;2;2012;11423;4898;6525
75;79;1;2012;10578;4505;6073
75;79;23;2012;62964;24957;38007
75;79;11;2012;307292;125497;181795
75;79;31;2012;130417;48871;81546
75;79;24;2012;101871;43410;58461
75;79;91;2012;109513;47833;61680
75;79;41;2012;87492;35680;51812
75;79;43;2012;43150;18183;24967
75;79;4;2012;12549;5036;7513
75;79;21;2012;49360;20100;29260
75;79;74;2012;36908;15762;21146
75;79;25;2012;61714;25494;36220
75;79;93;2012;200465;85876;114589
75;79;42;2012;62114;25561;36553
75;79;3;2012;1726;752;974
75;79;54;2012;78130;33924;44206
75;79;22;2012;62348;25573;36775
75;79;82;2012;209569;88563;121006
75;79;72;2012;133210;57013;76197
75;79;94;2012;12985;5717;7268
75;79;83;2012;59238;24172;35066
75;79;53;2012;129289;52539;76750
75;79;52;2012;130771;55353;75418
75;79;73;2012;117977;51335;66642
80;84;1;2012;7355;2931;4424
80;84;41;2012;64874;23233;41641
80;84;31;2012;97672;32535;65137
80;84;21;2012;37242;13548;23694
80;84;3;2012;1052;433;619
80;84;25;2012;47716;17786;29930
80;84;22;2012;47446;17356;30090
80;84;24;2012;80755;31367;49388
80;84;26;2012;57183;21334;35849
80;84;94;2012;9548;3879;5669
80;84;2;2012;8464;3461;5003
80;84;4;2012;8243;2948;5295
80;84;72;2012;106353;40376;65977
80;84;23;2012;48393;17634;30759
80;84;83;2012;46996;17055;29941
80;84;93;2012;157162;60608;96554
80;84;42;2012;46438;16551;29887
80;84;52;2012;103768;39111;64657
80;84;11;2012;235630;85413;150217
80;84;73;2012;95100;37516;57584
80;84;82;2012;163149;61444;101705
80;84;91;2012;84681;33380;51301
80;84;74;2012;30323;11535;18788
80;84;43;2012;33579;12661;20918
80;84;53;2012;99932;35873;64059
80;84;54;2012;62586;24728;37858
85;89;1;2012;4757;1844;2913
85;89;3;2012;627;225;402
85;89;2;2012;5093;1785;3308
85;89;4;2012;4641;1438;3203
85;89;21;2012;24525;7412;17113
85;89;23;2012;30222;9565;20657
85;89;54;2012;42566;14507;28059
85;89;73;2012;64524;21784;42740
85;89;24;2012;54287;18573;35714
85;89;26;2012;38063;12593;25470
85;89;11;2012;154406;47526;106880
85;89;22;2012;29332;9246;20086
85;89;53;2012;63696;19018;44678
85;89;72;2012;72658;23681;48977
85;89;74;2012;21116;7032;14084
85;89;25;2012;31006;9644;21362
85;89;31;2012;58749;16645;42104
85;89;42;2012;27651;7959;19692
85;89;52;2012;68256;22340;45916
85;89;41;2012;38805;11771;27034
85;89;43;2012;20731;6737;13994
85;89;82;2012;104972;33715;71257
85;89;91;2012;56523;18910;37613
85;89;83;2012;31305;9922;21383
85;89;93;2012;105318;34491;70827
85;89;94;2012;5738;1833;3905
90;94;23;2012;7670;1705;5965
90;94;24;2012;13693;3920;9773
90;94;3;2012;221;77;144
90;94;43;2012;5221;1315;3906
90;94;1;2012;1940;605;1335
90;94;42;2012;6180;1463;4717
90;94;2;2012;2125;593;1532
90;94;25;2012;7498;1836;5662
90;94;4;2012;1523;350;1173
90;94;21;2012;5541;1232;4309
90;94;52;2012;16504;4212;12292
90;94;94;2012;1966;524;1442
90;94;22;2012;6491;1646;4845
90;94;53;2012;15042;3496;11546
90;94;26;2012;9647;2450;7197
90;94;11;2012;43547;11121;32426
90;94;54;2012;10512;2831;7681
90;94;93;2012;29020;7435;21585
90;94;82;2012;26601;6963;19638
90;94;91;2012;14512;4025;10487
90;94;41;2012;8565;1961;6604
90;94;31;2012;11695;2495;9200
90;94;73;2012;15833;4281;11552
90;94;72;2012;18615;4812;13803
90;94;83;2012;7248;1834;5414
90;94;74;2012;5004;1414;3590
95;NA;2;2012;925;231;694
95;NA;24;2012;6905;1298;5607
95;NA;3;2012;98;35;63
95;NA;23;2012;3402;593;2809
95;NA;4;2012;529;106;423
95;NA;53;2012;6455;1073;5382
95;NA;26;2012;4923;856;4067
95;NA;25;2012;3681;657;3024
95;NA;43;2012;2446;438;2008
95;NA;73;2012;7852;1608;6244
95;NA;42;2012;2431;432;1999
95;NA;11;2012;22393;4338;18055
95;NA;54;2012;5665;1027;4638
95;NA;31;2012;5024;826;4198
95;NA;21;2012;2887;460;2427
95;NA;52;2012;8359;1497;6862
95;NA;74;2012;2708;520;2188
95;NA;83;2012;3705;681;3024
95;NA;93;2012;13533;2365;11168
95;NA;72;2012;9286;1560;7726
95;NA;41;2012;3751;616;3135
95;NA;22;2012;2966;495;2471
95;NA;1;2012;867;255;612
95;NA;82;2012;13223;2277;10946
95;NA;91;2012;6762;1229;5533
95;NA;94;2012;842;151;691
